,fear,greed,neutral
Total Trades,83237.0,90301.0,37686.0
Total PnL,4096265.690132,4907772.577753999,1292920.67555
Average PnL,49.212077443108235,54.34903907768462,34.30771839807886
Median PnL,0.0,0.0,0.0
Std Dev,990.8753975661327,979.5387716201104,517.1222197292026
Min PnL,-35681.74723,-117990.1041,-24500.0
Max PnL,135329.0901,74530.52371,48504.09555
Win Rate (%),40.78714994533681,42.03497192722118,39.69909250119408
Loss Rate (%),7.525499477395869,8.944529960908518,8.485909886960675
Breakeven Rate (%),51.687350577267324,49.0204981118703,51.81499761184525
Winning Trades,33950.0,37958.0,14961.0
Losing Trades,6264.0,8077.0,3198.0
Avg Trade Size (USD),7182.011019498541,4575.102470072314,4782.732661465796
Profit Factor,4.330526334150542,4.691203973825746,4.321264581464444
Risk/Reward,0.7990108087516639,0.9982310579216646,0.9236952163306792
Avg Win,156.88309598362298,164.32263104022869,112.43943157723415
Avg Loss,196.34665046487868,164.61382335904418,121.72784874202627
